Dispersal,Hunting,Forest_Number
abiotic,hunted,A_8
other,hunted,A_11
primates,hunted,A_2
abiotic,hunted,A_17 
other,hunted,A_2
othe(r,hunted,A_2
primates,hunted,A_0
abiotic,hunted,A_4 
other,hunted,A_1
other,hunted,A_1
primates,hunted,A_1
primates,hunted,A_1
abiotic,hunted,A_14
abiotic,hunted,A_14
other,hunted,A_7 
primates,hunted,A_1
primates,hunted,A_1
abiotic,protected,A_0
other,protected,A_2
oth#er,protected,A_2
primates,protected,A_5
abiotic,protected,A_1
abiotic,protected,A_1 
other,protected,A_0
other,protected,A_0
primates,protected,A_9
abiotic,PROTECTED,A_0
other,protected,A_0
primates,protected,A_5 
primates,protected,A_5
abiotic,protected,A_1
other,protected,A_1
primates,protected,A_8
abiotic,hunted,B_14
other,hunted,B_10
other,hunted,B_10 
primates,hunted,B_2 
abiotic,hunted,B_NA
other,hunted,B_10
primates,HUNTED,B_3
primates,hunted,B_3
abioti)c,hunted,B_8
other,hunted,B_3
primates,hunted,B_4
abiotic,hunted,B_11
other,hunted,B_10
primates,hunted,B_7
abiotic,PROTECTED,B_1
other,protected,B_1
primates,protected,B_12
abiotic,protected,B_0
other,protected,B_0
primates,protected,B_7
abiotic,protected,B_0 
other,protected,B_0
primates,protected,B_12
abiotic,protected,B_1
abiotic,protected,B_1
o-ther,protected,B_0 
primates,protected,B_5
abiotic,hunted,C_9 
other,hunted,C_2
primates,hunted,C_3
abiotic,hunted,C_10
other,hunted,C_1
primates,hunted,C_4 
abiotic,hunted,C_11
abiotic,hunted,C_11
other,hunted,C_0
primates,hunted,C_5
abiot(ic,HUNTED,C_8
other,hunted,C_0
primates,hunted,C_3
abiotic,protected,C_2
other,protected,C_3
other,protected,C_3
primates,protected,C_6
abiotic,protected,C_0
other,protected,C_4
primates,protected,C_10
abiotic,protected,C_0 
other,protected,C_0
primates,protected,C_5
abiotic,protected,C_2 
other,protected,C_2
primates,protected,C_5
primates,protected,C_5
